Ursprungsname;Anteil_NA;Anzahl_unters_Werte;Analysename
t_foto.item.bezeichnung.12;98.82;18;
t_foto.item.bezeichnung.13;98.93;14;
t_foto.item.bezeichnung.14;99.93;2;
t_foto.item.image;0.48;1;
t_foto.item.image.02;15.44;1;
t_foto.item.image.03;34.02;1;
t_foto.item.image.04;55.95;1;
t_foto.item.image.05;71.62;1;
t_foto.item.image.06;83.12;1;
t_foto.item.image.07;90.23;1;
t_foto.item.image.08;95.28;1;
t_foto.item.image.09;97.16;1;
t_foto.item.image.10;98.16;1;
t_foto.item.image.11;98.6;1;
t_foto.item.image.12;98.82;1;
t_foto.item.image.13;98.93;1;
t_foto.item.image.14;99.93;1;
t_garagen_stellplaetze_hg.item.garagen_stellplaetze_entn;41.65;30;
t_garagen_stellplaetze_hg.item.garagen_stellplaetze_entn.02;95.36;11;
t_garagen_stellplaetze_hg.item.garagen_stellplaetze_entn.03;99.93;1;
t_garagen_stellplaetze_hg.item.garagen_stellplaetze_wert;41.65;50;
t_garagen_stellplaetze_hg.item.garagen_stellplaetze_wert.02;95.36;24;
t_garagen_stellplaetze_hg.item.garagen_stellplaetze_wert.03;99.93;2;
t_garagen_stellplaetze_hg.item.l_garagen_stellplaetze_hg;41.65;559;
t_garagen_stellplaetze_hg.item.l_garagen_stellplaetze_hg.02;95.36;52;
t_garagen_stellplaetze_hg.item.l_garagen_stellplaetze_hg.03;99.93;2;
t_gemarkung.item.alkis_response;0;577;
t_gemarkung.item.alkis_response.02;76.59;139;
t_gemarkung.item.alkis_response.03;90.42;41;
t_gemarkung.item.alkis_response.04;92.59;22;
t_gemarkung.item.alkis_response.05;94.66;11;
t_gemarkung.item.alkis_response.06;96.06;5;
t_gemarkung.item.alkis_response.07;97.49;2;
t_gemarkung.item.alkis_response.08;98.01;2;
t_gemarkung.item.alkis_response.09;98.78;1;
t_gemarkung.item.alkis_response.10;99.37;1;
t_gemarkung.item.alkis_response.11;99.37;1;
t_gemarkung.item.alkis_response.12;99.37;1;
t_gemarkung.item.flurnr;0;138;
t_gemarkung.item.flurnr.02;76.59;88;
t_gemarkung.item.flurnr.03;90.42;47;
t_gemarkung.item.flurnr.04;92.59;28;
t_gemarkung.item.flurnr.05;94.66;19;
t_gemarkung.item.flurnr.06;96.06;13;
t_gemarkung.item.flurnr.07;97.49;8;
t_gemarkung.item.flurnr.08;98.01;8;
t_gemarkung.item.flurnr.09;98.78;4;
t_gemarkung.item.flurnr.10;99.37;2;
t_gemarkung.item.flurnr.11;99.37;2;
t_gemarkung.item.flurnr.12;99.37;2;
t_gemarkung.item.flurstflaeche;0;828;
t_gemarkung.item.flurstflaeche.02;76.59;243;
t_gemarkung.item.flurstflaeche.03;90.42;98;
t_gemarkung.item.flurstflaeche.04;92.59;68;
t_gemarkung.item.flurstflaeche.05;94.66;50;
t_gemarkung.item.flurstflaeche.06;96.06;37;
t_gemarkung.item.flurstflaeche.07;97.49;23;
t_gemarkung.item.flurstflaeche.08;98.01;22;
t_gemarkung.item.flurstflaeche.09;98.78;16;
t_gemarkung.item.flurstflaeche.10;99.37;8;
t_gemarkung.item.flurstflaeche.11;99.37;8;
t_gemarkung.item.flurstflaeche.12;99.37;8;
t_gemarkung.item.flurstnenner;0;1;
t_gemarkung.item.flurstnenner.02;76.59;1;
t_gemarkung.item.flurstnenner.03;90.42;1;
t_gemarkung.item.flurstnenner.04;92.59;1;
t_gemarkung.item.flurstnenner.05;94.66;1;
t_gemarkung.item.flurstnenner.06;96.06;1;
t_gemarkung.item.flurstnenner.07;97.49;1;
t_gemarkung.item.flurstnenner.08;98.01;1;
t_gemarkung.item.flurstnenner.09;98.78;1;
t_gemarkung.item.flurstnenner.10;99.37;1;
t_gemarkung.item.flurstnenner.11;99.37;1;
t_gemarkung.item.flurstnenner.12;99.37;1;
t_gemarkung.item.flurstteilflaeche;0;830;
t_gemarkung.item.flurstteilflaeche.02;76.59;241;
t_gemarkung.item.flurstteilflaeche.03;90.42;98;
t_gemarkung.item.flurstteilflaeche.04;92.59;70;
t_gemarkung.item.flurstteilflaeche.05;94.66;51;
t_gemarkung.item.flurstteilflaeche.06;96.06;38;
t_gemarkung.item.flurstteilflaeche.07;97.49;23;
t_gemarkung.item.flurstteilflaeche.08;98.01;22;
t_gemarkung.item.flurstteilflaeche.09;98.78;16;
t_gemarkung.item.flurstteilflaeche.10;99.37;8;
t_gemarkung.item.flurstteilflaeche.11;99.37;8;
t_gemarkung.item.flurstteilflaeche.12;99.37;8;
t_gemarkung.item.flurstzaehler;0;677;
t_gemarkung.item.flurstzaehler.02;76.59;258;
t_gemarkung.item.flurstzaehler.03;90.42;100;
t_gemarkung.item.flurstzaehler.04;92.59;67;
t_gemarkung.item.flurstzaehler.05;94.66;49;
t_gemarkung.item.flurstzaehler.06;96.06;37;
t_gemarkung.item.flurstzaehler.07;97.49;22;
t_gemarkung.item.flurstzaehler.08;98.01;22;
t_gemarkung.item.flurstzaehler.09;98.78;17;
t_gemarkung.item.flurstzaehler.10;99.37;8;
t_gemarkung.item.flurstzaehler.11;99.37;8;
t_gemarkung.item.flurstzaehler.12;99.37;7;
t_gemarkung.item.gis_hide;0;2;
t_gemarkung.item.gis_hide.02;76.59;2;
t_gemarkung.item.gis_hide.03;90.42;2;
